Код услуги;Наименование услуги;КСГ 1;КСГ 2;КСГ 3;КСГ 4;КСГ 5;КСГ 6;КСГ 7;КСГ 8;КСГ 9;Использовано в КСГ
A11.11.004.001;Биопсия средостения под контролем ультразвукового исследования;st19.124;st28.002;;;;;;;;TRUE
A11.12.001;Катетеризация подключичной и других центральных вен;st18.002;;;;;;;;;TRUE
A11.12.001.002;Имплантация подкожной венозной порт системы;st19.038;st25.008;;;;;;;;TRUE
A11.12.001.003;Замена центрального венозного катетера с использованием проводника;st18.002;;;;;;;;;TRUE
A11.12.001.004;Замена порта (сегмента) двухпросветного центрального венозного катетера;st18.002;;;;;;;;;TRUE
A11.12.001.005;Катетеризация подключичной и других центральных вен с использованием двухпросветного катетера;st18.002;;;;;;;;;TRUE
A11.12.001.006;Катетеризация подключичной и других центральных вен с использованием двухпросветного манжеточного туннельного катетера;st18.002;;;;;;;;;TRUE
A11.12.003.004;Внутрипросветное введение в центральный венозный катетер антисептиков и лекарственных препаратов;st18.002;;;;;;;;;TRUE
A11.12.015;Удаление центрального венозного катетера;st18.002;st19.038;;;;;;;;TRUE
A11.12.015.001;Удаление двухпросветного манжеточного туннельного катетера;st18.002;;;;;;;;;TRUE
A11.12.015.002;Удаление двухпросветного центрального венозного катетера;st18.002;;;;;;;;;TRUE
A11.14.001.001;Биопсия печени под контролем ультразвукового исследования;st19.123;st32.005;;;;;;;;TRUE
A11.14.005;Эмболизация печени с использованием лекарственных препаратов;st32.006;;;;;;;;;TRUE
A11.15.002.001;Пункция поджелудочной железы под контролем ультразвукового исследования;st32.005;;;;;;;;;TRUE
A11.17.003;Установка интестинальной помпы;st36.007;;;;;;;;;TRUE
A11.17.003.001;Замена интестинальной помпы;st36.007;;;;;;;;;TRUE
A11.20.007;Пункция кисты яичника и аспирация экссудата;st02.010;;;;;;;;;TRUE
A11.20.008;Раздельное диагностическое выскабливание полости матки и цервикального канала;st02.010;;;;;;;;;TRUE
A11.20.011.003;Биопсия шейки матки ножевая;st02.010;;;;;;;;;TRUE
A11.20.015;Удаление внутриматочной спирали;st02.010;;;;;;;;;TRUE
A11.21.002;"Биопсия яичка, придатка яичка и семенного канатика";st09.001;st30.006;;;;;;;;TRUE
A11.21.003;Биопсия полового члена;st09.001;st30.006;;;;;;;;TRUE
A11.21.005;Биопсия предстательной железы;st09.001;st19.123;st30.006;;;;;;;TRUE
A11.21.005.001;Биопсия предстательной железы под контролем ультразвукового исследования;st09.002;st19.123;st30.007;;;;;;;TRUE
A11.23.007.001;Заправка баклофеновой помпы;st36.007;;;;;;;;;TRUE
A11.26.017;Тонкоигольная аспирационная биопсия при внутриглазных опухолях;st21.003;;;;;;;;;TRUE
A11.26.017.001;Тонкоигольная аспирационная биопсия опухоли орбиты;st21.003;;;;;;;;;TRUE
A11.28.001;Биопсия почки;st09.005;st30.010;;;;;;;;TRUE
A11.28.001.001;Биопсия почки под контролем ультразвукового исследования;st09.006;st19.006;st30.011;;;;;;;TRUE
A11.28.002;Биопсия мочевого пузыря;st09.005;st19.006;st30.010;;;;;;;TRUE
A11.28.011;Чрескожная пункционная нефростомия;st09.006;st30.011;;;;;;;;TRUE
A11.28.012;Установка стента в мочевыводящие пути;st09.006;st30.011;;;;;;;;TRUE
A11.28.013;Парауретральное введение лекарственных препаратов;st09.006;st30.011;;;;;;;;TRUE
A11.30.025;Замена удлинителя катетера для перитонеального диализа;st18.002;;;;;;;;;TRUE
A11.30.026;Реинтеграция катетера для перитонеального диализа с использованием видеоэндоскопических технологий;st18.002;;;;;;;;;TRUE
A13.29.003;Клинико-психологическая адаптация;st37.032;st37.033;st37.034;;;;;;;TRUE
A14.20.002;"Введение, извлечение влагалищного поддерживающего кольца (пессария)";st02.010;;;;;;;;;TRUE
A16.01.001;Удаление поверхностно расположенного инородного тела;st31.002;;;;;;;;;TRUE
A16.01.002;Вскрытие панариция;st31.002;;;;;;;;;TRUE
A16.01.003;Некрэктомия;st31.003;;;;;;;;;TRUE
A16.01.003.001;Некрэктомия ультразвуковая;st31.003;;;;;;;;;TRUE
A16.01.003.002;Некрэктомия гнойно-некротического очага стопы (голени);st31.003;;;;;;;;;TRUE
A16.01.003.003;Некрэктомия гнойно-некротического очага стопы (голени) с использованием гидрохирургического скальпеля;st31.005;;;;;;;;;TRUE
A16.01.003.004;Некрэктомия гнойно-некротического очага стопы (голени) с установкой NPWT системы;st31.005;;;;;;;;;TRUE
A16.01.003.005;Некрэктомия гнойно-некротического очага стопы (голени) с установкой NPWT системы гидрохирургическим скальпелем;st31.005;;;;;;;;;TRUE
A16.01.003.006;Некрэктомия с использованием гидрохирургической системы;st31.003;;;;;;;;;TRUE
A16.01.003.007;Некрэктомия с помощью лазера;st31.003;;;;;;;;;TRUE
A16.01.004;Хирургическая обработка раны или инфицированной ткани;st31.003;;;;;;;;;TRUE
A16.01.004.001;Хирургическая обработка раны гидрохирургическим скальпелем;st31.003;;;;;;;;;TRUE
A16.01.004.002;Ревизия послеоперационной раны под наркозом;st31.003;;;;;;;;;TRUE
A16.01.005;Иссечение поражения кожи;st19.009;st31.002;;;;;;;;TRUE
A16.01.005.001;Широкое иссечение меланомы кожи;st19.009;;;;;;;;;TRUE
A16.01.005.002;Широкое иссечение меланомы кожи с реконструктивно-пластическим компонентом;st19.011;;;;;;;;;TRUE
A16.01.005.003;Широкое иссечение меланомы кожи комбинированное;st19.011;;;;;;;;;TRUE
A16.01.005.004;Широкое иссечение меланомы кожи расширенное;st19.010;;;;;;;;;TRUE
A16.01.005.005;Широкое иссечение новообразования кожи с реконструктивно-пластическим компонентом;st19.011;st31.005;;;;;;;;TRUE
A16.01.006;Иссечение поражения подкожно-жировой клетчатки;st31.003;;;;;;;;;TRUE
A16.01.006.001;Фасциально-футлярное иссечение клетчатки шеи;st31.004;;;;;;;;;TRUE
A16.01.007;Широкие лампасные разрезы;st31.005;;;;;;;;;TRUE
A16.01.008;Сшивание кожи и подкожной клетчатки;st31.002;;;;;;;;;TRUE
A16.01.008.001;Наложение вторичных швов;st31.002;;;;;;;;;TRUE
A16.01.009;Ушивание открытой раны (без кожной пересадки);st31.003;;;;;;;;;TRUE
A16.01.010;Аутодермопластика;st31.005;;;;;;;;;TRUE
A16.01.010.001;Кожная пластика для закрытия раны с использованием метода дерматензии;st31.005;;;;;;;;;TRUE
A16.01.010.002;Пластика раны местными тканями;st31.005;;;;;;;;;TRUE
A16.01.010.004;Перекрестная кожная пластика;st31.005;;;;;;;;;TRUE
A16.01.010.005;Свободная кожная пластика дерматомным перфорированным лоскутом;st31.005;;;;;;;;;TRUE
A16.01.011;Вскрытие фурункула (карбункула);st31.002;;;;;;;;;TRUE
A16.01.012;Вскрытие и дренирование флегмоны (абсцесса);st31.003;;;;;;;;;TRUE
A16.01.012.001;Вскрытие флегмоны (абсцесса) стопы (голени);st31.003;;;;;;;;;TRUE
A16.01.012.002;Вскрытие флегмоны (абсцесса) стопы использованием гидрохирургического скальпеля;st31.005;;;;;;;;;TRUE
A16.01.012.003;Вскрытие флегмоны (абсцесса) стопы использованием гидрохирургического скальпеля и установкой NPWT системы;st31.005;;;;;;;;;TRUE
A16.01.012.004;Вскрытие и дренирование флегмоны (абсцесса) челюстно-лицевой области внеротовым доступом;st31.002;;;;;;;;;TRUE
A16.01.013;Удаление сосудистой мальформации;st31.003;;;;;;;;;TRUE
A16.01.014;Удаление звездчатой ангиомы;st31.003;;;;;;;;;TRUE
A16.01.015;Удаление телеангиоэктазий;st31.002;;;;;;;;;TRUE
A16.01.016;Удаление атеромы;st31.002;;;;;;;;;TRUE
A16.01.017;Удаление доброкачественных новообразований кожи;st10.001;st10.002;st31.002;;;;;;;TRUE
A16.01.017.001;Удаление доброкачественных новообразований кожи методом электрокоагуляции;st31.002;;;;;;;;;TRUE
A16.01.018;Удаление доброкачественных новообразований подкожно-жировой клетчатки;st31.003;;;;;;;;;TRUE
A16.01.019;Вскрытие инфильтрата (угревого элемента) кожи и подкожно-жировой клетчатки;st31.002;;;;;;;;;TRUE
A16.01.020;Удаление контагиозных моллюсков;st31.002;;;;;;;;;TRUE
A16.01.021;Удаление татуировки;st31.002;;;;;;;;;TRUE
A16.01.022;Дермабразия;st31.002;;;;;;;;;TRUE
A16.01.022.001;Дермабразия рубцов;st31.002;;;;;;;;;TRUE
A16.01.023;Иссечение рубцов кожи;st31.002;;;;;;;;;TRUE
A16.01.023.001;Иссечение рубцов передней брюшной стенки;st31.003;;;;;;;;;TRUE
A16.01.023.002;Иссечение келлоидных рубцов кисти;st31.004;;;;;;;;;TRUE
A16.01.024;Дерматологический пилинг;st31.002;;;;;;;;;TRUE
A16.01.025;Трансплантация волос головы;st31.002;;;;;;;;;TRUE
A16.01.026;Внутрикожная контурная пластика;st31.002;;;;;;;;;TRUE
A16.01.027;Удаление ногтевых пластинок;st31.002;;;;;;;;;TRUE
A16.01.027.001;Удаление ногтевой пластинки с клиновидной резекцией матрикса;st31.002;;;;;;;;;TRUE
A16.01.027.002;Удаление ногтевой пластинки при помощи лазера;st31.002;;;;;;;;;TRUE
A16.01.028;Удаление мозоли;st31.002;;;;;;;;;TRUE
A16.01.029;Некротомия;st31.003;;;;;;;;;TRUE
A16.01.030;Иссечение грануляции;st31.003;;;;;;;;;TRUE
A16.01.030.001;Иссечение грануляции ультразвуковое;st31.002;;;;;;;;;TRUE
A16.01.031;Устранение рубцовой деформации;st31.003;;;;;;;;;TRUE
A16.01.031.001;Устранение рубцовой деформации с замещением дефекта местными тканями;st31.004;;;;;;;;;TRUE
A16.01.031.002;Устранение рубцовой деформации челюстно-лицевой области и шеи ротационным лоскутом на сосудистой ножке;st31.005;;;;;;;;;TRUE
